name,section,query,name,name_desc,desc,lib,return_vals,env,files,exit_status,diagnostics,errors,md5_hash,machine,total_score
aio,3,aio,6.944614,0.000000,0.001393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.946007
getpwent,3,getpwent,7.109660,0.000000,0.001304,0.000000,0.000050,0.000000,0.000000,0.000000,0.000000,0.001450,0.000000,0.000000,7.112463
racoonctl,8,reload,0.000000,0.000000,0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046398
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
apropos,1,apropos,18.600456,0.000000,0.004986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.605442
getopt,3,getopt,7.206176,0.000000,0.002906,0.000000,0.000123,0.000000,0.000000,0.000000,0.116625,0.000000,0.000000,0.000000,7.660518
cgdconfig,8,cgd,0.000000,0.000000,0.001379,0.000000,0.000000,0.000000,0.002410,0.000000,0.000000,0.000000,0.000000,0.000000,7.078756
fstat,1,fstat,6.940564,0.000000,0.000564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.941128
fgetws,3,fstat,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001023,0.000000,0.000000,6.941128
socket,2,socket,14.948688,0.000000,0.000133,0.000000,0.000045,0.000000,0.000000,0.000000,0.000000,0.000381,0.000000,0.000000,14.949248
getaddrinfo,1,socket,0.000000,0.217195,0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.949248
bus_space,9,bus_space,12.676302,0.000000,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.676521
bus_dma,9,bus_space,0.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.676521
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
gpio,4,gpio,4.337821,0.000000,0.000869,0.000000,0.000000,0.000000,0.002395,0.000000,0.000000,0.000000,0.000000,0.000000,4.522262
gpio.conf,5,gpio,2.345964,0.360352,0.001780,0.000000,0.000000,0.000000,0.001666,0.000000,0.000000,0.000000,0.000000,0.000000,4.522262
